Id,Scientific name,Interaction Type,Family ,Genus ,Specific epithet ,Plant,Scientific name authorship,Vernacular name,English vernacular name,Pollinators ref
75,Apis mellifera,Pollinates,Amaryllidaceae,Allium,cepa var. bola precoce,Allium cepa var. bola precoce,L.,cebola,onion,"Witter, S.; Blochtein, B. 2033. Efeito da polinização por abelhas e outros insetos na produção de sementes de cebola. Pesq. agropec. bras. vol.38 no.12 pp. 1399-1407."
76,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Cruz, D.O.; Freitas, B.M.; Rocha, E.E.M; Andrade, P.B.; Santos, R.C.; Rocha, R.F. 2010. COMPORTAMENTO E DIVERSIDADE DE ABELHAS EM CAPÍTULOS DE GIRASSOL (Helianthus annuus L.) NO LITORAL CEARENSE, REGIÃO NORDESTE DO BRASIL. Encontro sobre abelhas.Ribeirão Preto, p. 367."
77,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Machado, C.S.; Carvalho, C.A.L. 2006. Abelhas (Hymenoptera: Apoidea) visitantes dos capítulos de girassol no recôncavo baiano. Cienc. Rural vol.36 no.5 pp. 1404-1409."
78,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Paiva, G.J.; Terada, Y.; Toledo, V.A.A. Behavior of Apis mellifera L. Africanized honeybees in sunflower (Helianthus annuus L.) and evaluation of Apis mellifera L. colony inside covered area of sunflower. Maringá, v. 24, n. 4, p. 851-855, 2002."
79,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Paiva, G.J.; Terada, Y.; Toledo, V.A.A. Seed production and germination of sunflower (Helianthus annuus L.) in three pollination systems. Maringá, v. 25, no. 2, p. 223-227, 2003"
80,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Ramos, A.R.; Vieira, G.H.C. 2010. Abelhas visitantes da cultura do girassol (Helianthus annuus) em área de cerrado. 2010. Anais do Encontro de Iniciação Científica – ENIC."
81,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Vasconcelos GR, Halak AL, Silva FAZ, Roncolato AP, Malerbo-Souza DT. 2008. Agentes polinizadores na cultura de abóbora caipira. Anais do VIII Encontro sobre Abelhas de Ribeirão Preto, p.468.  "
82,Apis mellifera,Pollinates,Asteraceae,Helianthus,annuus,Helianthus annuus,L.,girassol,sunflower,"Vasconcelos GR, Halak AL, Silva FAZ, Roncolato AP, Malerbo-Souza DT. 2008. Agentes polinizadores na cultura de abóbora caipira. Anais do VIII Encontro sobre Abelhas de Ribeirão Preto, p.468.  "
83,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Alves JE, Freitas BM. 2007. Pollinaion requeriments of guava. Ciência Rural, Santa Maria 37: 1281-1286."
84,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"BOTI, J.B. 2001. POLINIZAÇÃO ENTOMÓFILA DA GOIABEIRA (Psidium guajava L., Myrtaceae): INFLUÊNCIA DA DISTÂNCIA DE FRAGMENTOS FLORESTAIS EM SANTA TERESA, ESPÍRITO SANTO. Tese de doutorado. Universidade Federal de Viçosa. 70pp."
