Id,Scientific name,Interaction Type,Family ,Genus ,Specific epithet ,Plant,Scientific name authorship,Vernacular name,English vernacular name,Pollinators ref
231,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,Magalhães CB. 2012. Introdução da abelhas coletora de óleo Centris (Heterocentris) analis para a polinização e aumento de produtividade de cultivos comerciais de acerola (Malpighia emarginata D.C.). Tese de Mestrado. Universidade Federal do Ceará
232,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Ritzinger R, Vieira Silva LC, Vidal Alves MG. 2004.  Polinização da Aceroleira. Embrapa mandioca e fruticultura. Acerola em Foco."
233,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
234,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
235,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
236,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Siqueira KMM, Martins, CF, Kiill LHP, Silva LT. 2011. Estudo comparativo da polinização em variedade de aceroleira (Malpighia emarginata DC, Malpighiaceae). Revista Caatinga 24: 18-25."
237,Centris aenea,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Vilhena, A.M.G.F., Augusto, S.C. (2007) Polinizadores da aceroleira Malpighia emarginata DC (Malpighiaceae) em área de cerrado no Triângulo Mineiro. Biosci. J. 23, 14–23."
238,Centris aenea,Pollinates,Malpighiaceae,Byrsonima,chrysophylla,Byrsonima chrysophylla,Kunth,murici pitanga,cherry murici,"Ribeiro, E.K.M., Rêgo, M.M.C., Machado, I.C.S., 2008. Cargas polínicas de abelhas polinizadoras de Byrsonima chrysophylla Kunth. (Malpighiaceae): fidelidade e fontes alternativas de recursos florais. Acta Botânica Brasilica 22, 165–171."
239,Centris aenea,Pollinates,Malpighiaceae,Malpighia,punicifolia,Malpighia punicifolia,L.,acerola,acerola,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
240,Centris aenea,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"BOTI, J.B. 2001. POLINIZAÇÃO ENTOMÓFILA DA GOIABEIRA (Psidium guajava L., Myrtaceae): INFLUÊNCIA DA DISTÂNCIA DE FRAGMENTOS FLORESTAIS EM SANTA TERESA, ESPÍRITO SANTO. Tese de doutorado. Universidade Federal de Viçosa. 70pp."
241,Centris aenea,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Siqueira KMM, 2012. Pollination of Guava (Psidium guajava).  In: Ribeiro, MF. Terceira semana dos polinizadores. Documentos online EMBRAPA 249. ISSN 18089994, p. 138-156."
242,Centris aenea,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,"Costa AJC. 2005. Abelhas (Hymenoptera:Apoidea) visitantes das flores de Urucum (Bixa orellana L.), em Vitória da Conquista-BA. Dissertação apresentada à Universidade Estadual da Bahia. Vitória da Conquista-Bahia-Brasil."
243,Centris aenea,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,"Costa, A.J.C.; Guimarães-Dias, F.; Pérez-Maluf, R. Abelhas (Hymenoptera: Apoidea) visitantes das flores de urucum em Vitória da Conquista, BA. Cienc. Rural vol.38 no.2 pp. 534-537 Santa Maria Mar./Apr. 2008"
244,Centris aenea,Pollinates,Solanaceae,Solanum,licopersicum,Solanum licopersicum,NA,tomate,tomato,"Silva-Neto, C.M., Bergamini, L.L., Elias, M.A.S., Moreira, G.L., Morais, J.M., Bergamini, B.A.R., Franceschinelli, E.V. 2016. High species richness of native pollinators in Brazilian tomato crops. Braz J. Biol. On line version: http://dx.doi.org/10.1590/1519\-6984\.17515"
245,Centris americana,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante MC, Oliveira FF, Maués MM, Freitas BM. 2012. Pollination requerements and the foraging behavior of potential pollinators of cultivated Brazil nut (Bertholletia excelsa Bonpl.) Tree in Central Amazon Rainforest. Psyche. doi:10.1155/2012/978019"
246,Centris americana,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C. 2008. Visitantes florais e polinização da castanha-do-brasil (Bertholletia excelsa H. & B.) em cultivo na Amazônia central. Dissertação. Universidade Federal do Ceará."
247,Centris americana,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C.; Maués, M.C.; Freitas, B.M. Polinização da castanheira-do-brasil (Bertholletia excelsa). In: Ribeiro, M.F. (ed). Terceira Semana dos Polinizadores. 2010. Petrolina. Embrapa Semiárido, Documentos, 249. 2012, p. 58-66."
248,Centris americana,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Freitas, B.M.; Cavalcante, M.C. 2008. Visitantes Florais e Polinização da Castanha do Brasil (Bertholletia excelsa) em Cultivo Comercial na Floresta Amazônica. Encontro sobre Abelhas. Ribeirão Preto, p.58-64."
249,Centris americana,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"MAUES, M. M.; CAVALCANTE, M. C.; SANTOS, A. S.; COOREA, F. S. Agrobiodiversidade de polinizadores em duas áreas cultivadas com castanheira-do-brasil (Bertholletia excelsa Bonpl.) In: CONGRESSO BRASILEIRO DE RECURSOS GENÉTICOS, 2., 2012, Belém, PA. Anais... Brasília, DF: Sociedade Brasileira de Recursos Genéticos, 2012. "
250,Centris bicolor,Pollinates,Malpighiaceae,Malpighia,crassifolia,Malpighia crassifolia,(L.) Kunth,murici,murici,"Pereira JOP, Freitas BM. 2000. Requerimentos de polinização do Murici (Malpighia crassifolia, L.) e seus polinizadores no litoral cearense. Anais do Encontro sobre Abelhas de Ribeirão Preto, SP, Brazil."
251,Centris bicolor,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"Mello, G.A.R.; Varassin, I.G.; Vieira, A.O.S.; Menezes JR, A.O.; Löwenberg-Neto, P.; Bressan, D.F.; Elbl, P.M.; Moreira, P.A.; Oliveira, P.C.; Zanon, M.M.F.;  Androcioli, H.G.; Ximenes, D.S.M.; Cervigne, N.S.; Prado, J. & Ide, A.K. 2006. Polinizadores de maracujás no Paraná. In: VII Encontro sobre Abelhas, Ribeirão Preto, CD-ROM."
252,Centris collaris,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,"Costa AJC. 2005. Abelhas (Hymenoptera:Apoidea) visitantes das flores de Urucum (Bixa orellana L.), em Vitória da Conquista-BA. Dissertação apresentada à Universidade Estadual da Bahia. Vitória da Conquista-Bahia-Brasil."
253,Centris collaris,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,"Costa, A.J.C.; Guimarães-Dias, F.; Pérez-Maluf, R. Abelhas (Hymenoptera: Apoidea) visitantes das flores de urucum em Vitória da Conquista, BA. Cienc. Rural vol.38 no.2 pp. 534-537 Santa Maria Mar./Apr. 2008"
254,Centris denudans,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante MC, Oliveira FF, Maués MM, Freitas BM. 2012. Pollination requerements and the foraging behavior of potential pollinators of cultivated Brazil nut (Bertholletia excelsa Bonpl.) Tree in Central Amazon Rainforest. Psyche. doi:10.1155/2012/978019"
255,Centris denudans,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C. 2008. Visitantes florais e polinização da castanha-do-brasil (Bertholletia excelsa H. & B.) em cultivo na Amazônia central. Dissertação. Universidade Federal do Ceará."
256,Centris denudans,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C. 2008. Visitantes florais e polinização da castanha-do-brasil (Bertholletia excelsa H. & B.) em cultivo na Amazônia central. Dissertação. Universidade Federal do Ceará."
257,Centris denudans,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C.; Maués, M.C.; Freitas, B.M. Polinização da castanheira-do-brasil (Bertholletia excelsa). In: Ribeiro, M.F. (ed). Terceira Semana dos Polinizadores. 2010. Petrolina. Embrapa Semiárido, Documentos, 249. 2012, p. 58-66."
258,Centris denudans,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Freitas, B.M.; Cavalcante, M.C. 2008. Visitantes Florais e Polinização da Castanha do Brasil (Bertholletia excelsa) em Cultivo Comercial na Floresta Amazônica. Encontro sobre Abelhas. Ribeirão Preto, p.58-64."
259,Centris denudans,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"MAUES, M. M.; CAVALCANTE, M. C.; SANTOS, A. S.; COOREA, F. S. Agrobiodiversidade de polinizadores em duas áreas cultivadas com castanheira-do-brasil (Bertholletia excelsa Bonpl.) In: CONGRESSO BRASILEIRO DE RECURSOS GENÉTICOS, 2., 2012, Belém, PA. Anais... Brasília, DF: Sociedade Brasileira de Recursos Genéticos, 2012. "
260,Centris denudans,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"Gaglianone MC, Rocha HHS, Benevides CR, Junqueira CN, Augusto SC. 2010. Importancia de Centridini (Apidae) na polinização de plantas de interesse agrícola: O Maracujá-doce (Passiflora alata Curtis) como um estudo de caso na região Sudeste do Brasil. Oecologia Australis 14: 152-164."
261,Centris denudans,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Vilhena, A.M.G.F., Augusto, S.C. (2007) Polinizadores da aceroleira Malpighia emarginata DC (Malpighiaceae) em área de cerrado no Triângulo Mineiro. Biosci. J. 23, 14–23."
262,Centris denudans,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Yamamoto M. 2009. Polinizadores do maracujá-amarelo (Passiflora edulis f. flavicarpa Deneger, Passifloraceae) no Triangulo Mineiro: riqueza de espécies, frequência de visitas e a conservação de áreas naturais. Tese de doutorado. Universidade Federal de Uberlândia"
263,Centris denudans,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"YAMAMOTO, M.; SILVA, C.I.; AUGUSTO, S.C.; BARBOSA, A.A.A.; OLIVEIRA, P.E. 2012. The role of bee diversity in pollination and fruit set of yellow passion fruit (Passiflora edulis forma flavicarpa, Passifloraceae) crop in Central Brazil. Apidologie  43:515–526."
264,Centris denudans,Pollinates,Passifloraceae,Passiflora,edulis,Passiflora edulis,Sims,maracujá,passion fruit,"Augusto, S.C.; Barbosa, A.A.A.; Silva, C.I.;Yamamoto, M.; Carvalho, A.P.G.O.; Oliveira, P.E. 2005. Plano de manejo sustentável de Xylocopa spp. (Apidae, Xylocopini), polinização e produção do maracujá-amarelo (Passiflora edulis f. flavicarpa) no Triângulo Mineiro. PROBIO/UFU."
265,Centris ferruginea,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante MC, Oliveira FF, Maués MM, Freitas BM. 2012. Pollination requerements and the foraging behavior of potential pollinators of cultivated Brazil nut (Bertholletia excelsa Bonpl.) Tree in Central Amazon Rainforest. Psyche. doi:10.1155/2012/978019"
266,Centris ferruginea,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C. 2008. Visitantes florais e polinização da castanha-do-brasil (Bertholletia excelsa H. & B.) em cultivo na Amazônia central. Dissertação. Universidade Federal do Ceará."
267,Centris ferruginea,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Cavalcante, M.C.; Maués, M.C.; Freitas, B.M. Polinização da castanheira-do-brasil (Bertholletia excelsa). In: Ribeiro, M.F. (ed). Terceira Semana dos Polinizadores. 2010. Petrolina. Embrapa Semiárido, Documentos, 249. 2012, p. 58-66."
268,Centris ferruginea,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Freitas, B.M.; Cavalcante, M.C. 2008. Visitantes Florais e Polinização da Castanha do Brasil (Bertholletia excelsa) em Cultivo Comercial na Floresta Amazônica. Encontro sobre Abelhas. Ribeirão Preto, p.58-64."
269,Centris ferruginea,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"MAUES, M. M.; CAVALCANTE, M. C.; SANTOS, A. S.; COOREA, F. S. Agrobiodiversidade de polinizadores em duas áreas cultivadas com castanheira-do-brasil (Bertholletia excelsa Bonpl.) In: CONGRESSO BRASILEIRO DE RECURSOS GENÉTICOS, 2., 2012, Belém, PA. Anais... Brasília, DF: Sociedade Brasileira de Recursos Genéticos, 2012. "
270,Centris flavifrons,Pollinates,Malpighiaceae,Byrsonima,crassifolia,Byrsonima crassifolia,(L.) Kunth,murici,murici,"Rego, M.M.C., Albuquerque, P.M.C., Ramos, M.C., Carreira, L.M., 2006. Aspectos da biologia de nidificacão de Centris flavifrons (Friese) (Hymenoptera: Apidae, Centridini), um dos principais polinizadores do murici (Byrsonima crassifolia L. Kunth, Malpighiaceae) no Maranhão. Neotr. Ent. 35, 579–587."
271,Centris flavifrons,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Santos CF. 2007. Influência de visitantes florais de Bertholletia excelsa Humb. & Bonpl. (Lecythidaceae), castanheira-do-Brasil, sobre o comportamento de forrageio de Xylocopa frontalis e Eulaema mocsary (Hymenoptera: Apidae). Dissertação, Universidade Federal do Amazonas."
272,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"Gaglianone MC, Rocha HHS, Benevides CR, Junqueira CN, Augusto SC. 2010. Importancia de Centridini (Apidae) na polinização de plantas de interesse agrícola: O Maracujá-doce (Passiflora alata Curtis) como um estudo de caso na região Sudeste do Brasil. Oecologia Australis 14: 152-164."
273,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"SAZIMA, I. ; SAZIMA, M. . Mamangavas e irapuás (Apoidea): visitas, interações e consequências para polinização do maracujá (Passifloraceae). Revista Brasileira de Entomologia, v. 33, n.1, p. 109-118, 1989. "
274,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"Varassin I. G. & Silva A. G. 1999. A melitofilia em Passiflora alata Dryander (Passifloraceae), em vegetação de restinga. Rodriguésia 50(76/77): 5-17."
275,Centris flavifrons,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,Magalhães CB. 2012. Introdução da abelhas coletora de óleo Centris (Heterocentris) analis para a polinização e aumento de produtividade de cultivos comerciais de acerola (Malpighia emarginata D.C.). Tese de Mestrado. Universidade Federal do Ceará
276,Centris flavifrons,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
277,Centris flavifrons,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
278,Centris flavifrons,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Vilhena, A.M.G.F., Augusto, S.C. (2007) Polinizadores da aceroleira Malpighia emarginata DC (Malpighiaceae) em área de cerrado no Triângulo Mineiro. Biosci. J. 23, 14–23."
279,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Benevides CR, Gaglianone MC, Hoffmann M. 2009. Visitantes florais do maracujá-amarelo (Passiflora edulis f. flavicarpa Deg. Passifloraceae) em áreas de cultivo com diferentes proximidades a fragmentos florestais na região Norte Fluminense, RJ. Revista Brasileira de Entomologia 53: 415-421."
280,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Benevides CR, Gaglianone MC, Hoffmann M. 2009. Visitantes florais do maracujá-amarelo (Passiflora edulis f. flavicarpa Deg. Passifloraceae) em áreas de cultivo com diferentes proximidades a fragmentos florestais na região Norte Fluminense, RJ. Revista Brasileira de Entomologia 53: 415-421."
281,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Gaglianone, M.C., Hoffmann, M. 2006. POLINIZADORES DO MARACUJÁ-AMARELO NO NORTE FLUMINENSE. Polinizadores de maracujás no Paraná. In: VII Encontro sobre Abelhas, Ribeirão Preto, CD-ROM."
282,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Yamamoto M. 2009. Polinizadores do maracujá-amarelo (Passiflora edulis f. flavicarpa Deneger, Passifloraceae) no Triangulo Mineiro: riqueza de espécies, frequência de visitas e a conservação de áreas naturais. Tese de doutorado. Universidade Federal de Uberlândia"
283,Centris flavifrons,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"YAMAMOTO, M.; SILVA, C.I.; AUGUSTO, S.C.; BARBOSA, A.A.A.; OLIVEIRA, P.E. 2012. The role of bee diversity in pollination and fruit set of yellow passion fruit (Passiflora edulis forma flavicarpa, Passifloraceae) crop in Central Brazil. Apidologie  43:515–526."
284,Centris flavifrons,Pollinates,Malpighiaceae,Byrsonima,chrysophylla,Byrsonima chrysophylla,Kunth,murici pitanga,cherry murici,"Ribeiro, E.K.M., Rêgo, M.M.C., Machado, I.C.S., 2008. Cargas polínicas de abelhas polinizadoras de Byrsonima chrysophylla Kunth. (Malpighiaceae): fidelidade e fontes alternativas de recursos florais. Acta Botânica Brasilica 22, 165–171."
285,Centris flavifrons,Pollinates,Malpighiaceae,Malpighia,punicifolia,Malpighia punicifolia,L.,acerola,acerola,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
286,Centris fuscata,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Guedes RS, Zanella FCV, Martins CF Schlindwein C. 2011. Pollination deficit of acerola orchards during the dry season in the semiarid region of northeastern Brazil.  Revista Bras Frutic, Jaboticabal-SP v33, n.2, p. 465-471"
287,Centris fuscata,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Ritzinger R, Vieira Silva LC, Vidal Alves MG. 2004.  Polinização da Aceroleira. Embrapa mandioca e fruticultura. Acerola em Foco."
288,Centris fuscata,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
289,Centris fuscata,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
290,Centris fuscata,Pollinates,Malpighiaceae,Malpighia,punicifolia,Malpighia punicifolia,L.,acerola,acerola,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
291,Centris fuscata,Pollinates,Ebenaceae,Diospyros,kaki,Diospyros kaki,L. f.,caqui,persimmon,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
292,Centris fuscata,Pollinates,Solanaceae,Lycopersicon,esculentum,Lycopersicon esculentum,Mill.,tomate,tomato,"Campos, M.J. 2008. Landscape management and pollinator richness in tomato (Lycopersicon esculentum Mill., SOLANACEAE) crops in Southeastern Brazil. In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 26-29."
293,Centris fuscata,Pollinates,Solanaceae,Solanum,licopersicum,Solanum licopersicum,NA,tomate,tomato,"Silva-Neto, C.M., Bergamini, L.L., Elias, M.A.S., Moreira, G.L., Morais, J.M., Bergamini, B.A.R., Franceschinelli, E.V. 2016. High species richness of native pollinators in Brazilian tomato crops. Braz J. Biol. On line version: http://dx.doi.org/10.1590/1519\-6984\.17515"
294,Centris longimana,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"Gaglianone MC, Rocha HHS, Benevides CR, Junqueira CN, Augusto SC. 2010. Importancia de Centridini (Apidae) na polinização de plantas de interesse agrícola: O Maracujá-doce (Passiflora alata Curtis) como um estudo de caso na região Sudeste do Brasil. Oecologia Australis 14: 152-164."
295,Centris longimana,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"SAZIMA, I. ; SAZIMA, M. . Mamangavas e irapuás (Apoidea): visitas, interações e consequências para polinização do maracujá (Passifloraceae). Revista Brasileira de Entomologia, v. 33, n.1, p. 109-118, 1989. "
296,Centris longimana,Pollinates,Passifloraceae,Passiflora,alata,Passiflora alata,Curtis,maracujá,passion fruit,"Varassin I. G. & Silva A. G. 1999. A melitofilia em Passiflora alata Dryander (Passifloraceae), em vegetação de restinga. Rodriguésia 50(76/77): 5-17."
297,Centris longimana,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Schlindwein, C., Martins, C.F.; Zanella, F.C.V; Alves, M.V.; Carvalho, A.T.; Darrault, R.O.; Duarte Jr., L.A.; Oliveira, M.D.; Ferreira, A.G.; Guedes, R.S.; Ferreira, R.P.; Pinto, C.E.; Silveira, M.S.; Vital, M.T.A.B. 2006. Diagnóstico E Manejo Dos Polinizadores De Mangabeira E Aceroleira. Encontro sobre abelhas. Ribeirão Preto"
298,Centris longimana,Pollinates,Malpighiaceae,Malpighia,emarginata,Malpighia emarginata,DC.,acerola,acerola,"Vilhena, A.M.G.F., Augusto, S.C. (2007) Polinizadores da aceroleira Malpighia emarginata DC (Malpighiaceae) em área de cerrado no Triângulo Mineiro. Biosci. J. 23, 14–23."
299,Centris longimana,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Benevides CR, Gaglianone MC, Hoffmann M. 2009. Visitantes florais do maracujá-amarelo (Passiflora edulis f. flavicarpa Deg. Passifloraceae) em áreas de cultivo com diferentes proximidades a fragmentos florestais na região Norte Fluminense, RJ. Revista Brasileira de Entomologia 53: 415-421."
300,Centris longimana,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Benevides CR, Gaglianone MC, Hoffmann M. 2009. Visitantes florais do maracujá-amarelo (Passiflora edulis f. flavicarpa Deg. Passifloraceae) em áreas de cultivo com diferentes proximidades a fragmentos florestais na região Norte Fluminense, RJ. Revista Brasileira de Entomologia 53: 415-421."
301,Centris longimana,Pollinates,Passifloraceae,Passiflora,edulis f. flavicarpa,Passiflora edulis f. flavicarpa,Deneger,maracujá,passion fruit,"Yamamoto M. 2009. Polinizadores do maracujá-amarelo (Passiflora edulis f. flavicarpa Deneger, Passifloraceae) no Triangulo Mineiro: riqueza de espécies, frequência de visitas e a conservação de áreas naturais. Tese de doutorado. Universidade Federal de Uberlândia"
