"","species","latitude","longitude","sociality","body_mass_g"
"104","Bathyergus suillus",-33.752955,18.54697,"solitary",780
"105","Bathyergus suillus",-33.959076,18.48099,"solitary",780
"106","Bathyergus suillus",-33.762504,18.497709,"solitary",780
"107","Bathyergus suillus",-33.83725,18.497642,"solitary",780
"108","Bathyergus suillus",-34.057993,18.42577,"solitary",780
"109","Bathyergus suillus",-33.83725,18.497642,"solitary",780
"110","Bathyergus suillus",-34.54941,19.470193,"solitary",780
"111","Bathyergus suillus",-34.060436,18.487511,"solitary",780
"112","Bathyergus suillus",-33.797414,18.469972,"solitary",780
"113","Bathyergus suillus",-33.888371,18.515893,"solitary",780
"114","Bathyergus suillus",-33.841705,18.494287,"solitary",780
"115","Bathyergus suillus",-33.129603,18.090314,"solitary",780
"116","Bathyergus suillus",-34.058343,18.429204,"solitary",780
"117","Bathyergus suillus",-34.05798,18.426565,"solitary",780
"118","Bathyergus suillus",-34.051609,18.458117,"solitary",780
"119","Bathyergus suillus",-33.874909,18.55189,"solitary",780
"120","Bathyergus suillus",-34.123927,18.402473,"solitary",780
"121","Bathyergus suillus",-34.52895,19.488714,"solitary",780
"122","Bathyergus suillus",-34.061603,18.425391,"solitary",780
"123","Bathyergus suillus",-34.050131,18.447041,"solitary",780
"124","Bathyergus suillus",-33.708696,18.54664,"solitary",780
"125","Bathyergus suillus",-34.058832,18.431482,"solitary",780
"126","Bathyergus suillus",-34.053966,18.42949,"solitary",780
"127","Bathyergus suillus",-33.877669,18.709726,"solitary",780
"128","Bathyergus suillus",-33.721661,18.546387,"solitary",780
"129","Bathyergus suillus",-33.399845,18.399407,"solitary",780
"130","Bathyergus suillus",-34.552706,19.418675,"solitary",780
"131","Bathyergus suillus",-34.172914,18.428044,"solitary",780
"132","Bathyergus suillus",-34.258214,18.385727,"solitary",780
"133","Bathyergus suillus",-33.577518,18.610583,"solitary",780
"134","Bathyergus suillus",-34.258874,18.382495,"solitary",780
"135","Bathyergus suillus",-34.060971,18.424155,"solitary",780
"136","Bathyergus suillus",-34.147756,18.32021,"solitary",780
"137","Bathyergus suillus",-34.058821,18.431592,"solitary",780
"138","Bathyergus suillus",-34.048197,18.448053,"solitary",780
"139","Bathyergus suillus",-34.050952,18.760828,"solitary",780
"140","Bathyergus suillus",-34.115362,18.376768,"solitary",780
"141","Bathyergus suillus",-34.185609,18.395077,"solitary",780
"142","Bathyergus suillus",-34.114978,18.368955,"solitary",780
"143","Bathyergus suillus",-34.05163,18.454889,"solitary",780
"144","Bathyergus suillus",-33.756386,18.488301,"solitary",780
"145","Bathyergus suillus",-34.832353,20.000807,"solitary",780
"146","Bathyergus suillus",-34.03194,18.451049,"solitary",780
"147","Bathyergus suillus",-33.335476,18.274992,"solitary",780
"148","Bathyergus suillus",-33.846828,18.531706,"solitary",780
"149","Bathyergus suillus",-32.905264,18.288573,"solitary",780
"150","Bathyergus suillus",-33.758141,18.776424,"solitary",780
"151","Bathyergus suillus",-33.76076,18.479191,"solitary",780
"152","Bathyergus suillus",-33.333932,18.273126,"solitary",780
"153","Bathyergus suillus",-33.563999,18.314365,"solitary",780
"154","Bathyergus suillus",-33.824215,18.9988,"solitary",780
"155","Bathyergus suillus",-34.051813,18.428886,"solitary",780
"156","Bathyergus suillus",-32.912968,18.284851,"solitary",780
"157","Bathyergus suillus",-34.097153,18.470012,"solitary",780
"158","Bathyergus suillus",-34.059081,18.429332,"solitary",780
