sourceTaxonName,interactionTypeName,targetTaxonName,Mass_kg,Mass_source,decimalLatitude,decimalLongitude,localityName,sourceCitation
NA,NA,Raphicerus sharpei,9.49992,EltonTraits,NA,NA,NA,NA
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,59.7331,11.3433,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,59.7331,11.3433,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,44.6062,-67.9255,Cherryfield,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,60.16666667,12.5,Varald State Forest,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,59.7331,11.3433,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,59.7331,11.3433,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,59.7331,11.3433,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,44.4832,-68.7221,Pierce Pond,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,60.16666667,12.5,Varald State Forest,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,59.7331,11.3433,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Vulpes vulpes,eats,Alces alces,307.22744,Tamburello_etal_2015,60.16666667,12.5,Varald State Forest,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
