finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,
Martes,Metazoa,Mammalia,Carnivora,Mustelidae,Martes,NA,NA,NA,
Martes americana,Metazoa,Mammalia,Carnivora,Mustelidae,Martes,Martes americana,0.88349,Tamburello_etal_2015,
Martes americana caurina,Metazoa,Mammalia,Carnivora,Mustelidae,Martes,Martes americana,0.88349,Tamburello_etal_2015,
Masticophis flagellum,Metazoa,Lepidosauria,Squamata,Colubridae,Masticophis,Masticophis flagellum,0.001326225,RepTraits,
Mazama temama,Metazoa,Mammalia,Artiodactyla,Cervidae,Mazama,Mazama temama,18.80987,EltonTraits,
Megalodiscus,Metazoa,Trematoda,Plagiorchiida,Paramphistomatidae,Megalodiscus,NA,NA,NA,
Meleagris gallopavo,Metazoa,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,6.023,Mace_Harvey_1983,
Meleagris gallopavo intermedia,Metazoa,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,6.023,Mace_Harvey_1983,
Mephitidae,Metazoa,Mammalia,Carnivora,Mephitidae,NA,NA,NA,NA,
Metazoa,Metazoa,NA,NA,NA,NA,NA,NA,NA,
Microtus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,NA,NA,NA,
Microtus californicus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus,0.05742,EltonTraits,
Microtus montanus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus,0.0567,Tamburello_etal_2015,
Microtus pennsylvanicus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus,0.04961,Tamburello_etal_2015,
Mirounga angustirostris,Metazoa,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,750,EltonTraits,
Molothrus,Metazoa,Aves,Passeriformes,Icteridae,Molothrus,NA,NA,NA,
Muridae,Metazoa,Mammalia,Rodentia,Muridae,NA,NA,NA,NA,
Mus,Metazoa,Mammalia,Rodentia,Muridae,Mus,NA,NA,NA,
Mus musculus,Metazoa,Mammalia,Rodentia,Muridae,Mus,Mus musculus,0.014,Mace_Harvey_1983,
Mustela,Metazoa,Mammalia,Carnivora,Mustelidae,Mustela,NA,NA,NA,
Mustela frenata,Metazoa,Mammalia,Carnivora,Mustelidae,Mustela,Mustela frenata,0.165,Harestad_ Bunnel_1979,
Mustelidae,Metazoa,Mammalia,Carnivora,Mustelidae,NA,NA,NA,NA,
Nasua narica,Metazoa,Mammalia,Carnivora,Procyonidae,Nasua,Nasua narica,5,Gittleman and Harvey (1982),
Nasua nasua,Metazoa,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,3.79385,EltonTraits,
